,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C,Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,Pasivos por impuestos corrientes corriente,Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,Pasivos por impuestos corrientes no corriente,Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
0,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830136799,BIOMAX BIOCOMBUSTIBLES S.A.,2018-06-30,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",01. SOCIEDAD ANÓNIMA,CARRERA 14 No.99 33 piso 9,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,24000715,74651513,115655107,660588,0,0,1307987,,216275910,,216275910,,222542349,82767156,15555044,,,11732149,40063666,3232974,,69011027,10173350,,455077715,671353625,2318835,543736,2862571,110810304,24457203,55412022,,193542100,,193542100,,422578,422578,9812143,15276249,,178422350,,203933320,397475420,11860583,203689995,,,,,6037478,52290149,273878205,,273878205,671353625
1,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830136799,BIOMAX BIOCOMBUSTIBLES S.A.,2018-06-30,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",01. SOCIEDAD ANÓNIMA,CARRERA 14 No.99 33 piso 9,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,56935181,81732705,80773561,342496,0,0,2090080,,221874023,,221874023,,228448077,82767156,16661005,,,14672429,57161144,3049009,,68826974,10652170,,482237964,704111987,2687483,,2687483,99666657,32745620,58816111,,193915871,,193915871,,383410,383410,10309604,15804322,,219534745,,246032081,439947952,11860583,203689995,,,,,6037478,42575979,264164035,,264164035,704111987
2,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900182199,COLGENER S.A,2018-06-30,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. SOCIEDAD ANÓNIMA,CR 13  93  19 PISO 4 BRR CHICO BOGOTA D.C.,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,23477525,72771781,74755327,4468544,,7867947,1403943,,184745067,,184745067,1047956,901777946,,14274,,,1852785,,,,16686,7351962,,912061609,1096806676,4595878,,4595878,584534865,30573142,,19608523,639312408,,639312408,7855577,2095230,9950807,1334308,75613076,,,,86898191,726210599,91794988,135334649,,,117065154,,67698645,-42470648,369422788,1173289,370596077,1096806676
3,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900182199,COLGENER S.A,2018-06-30,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. SOCIEDAD ANÓNIMA,CR 13  93  19 PISO 4 BRR CHICO BOGOTA D.C.,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,12932896,45461570,76578055,5543820,,1568,3892273,,144410182,,144410182,1053322,926076446,,28449,,,1852025,,,,3639914,790780,,933440936,1077851118,4432353,,4432353,154585678,7510540,,10365184,176893755,,176893755,8471707,2095230,10566937,535254946,55948450,,82457,,601852790,778746545,91794988,135334649,,,117065154,,1282766,-47456806,298020751,1083822,299104573,1077851118
4,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301443,AMALFI S.A.S.,2018-09-30,K6494 - Otras actividades de distribución de fondos,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,AVENIDA 3 OESTE 10 51,VALLE,CALI-VALLE,Periodo Actual,79120731,35077574,64721,1535505,4168054,2102512,235408,,122304505,,122304505,362497,18023553,,46578,146392739,,,,6647531,,2001064843,,,2172537741,2294842246,419207,,419207,871578,293887,202297932,1184025,205066629,,205066629,,,,,7274084,,,,7274084,212340713,11252423,176788264,155004768,,,,1444974185,564468847,2042478951,40022582,2082501533,2294842246
5,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301443,AMALFI S.A.S.,2018-09-30,K6494 - Otras actividades de distribución de fondos,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,AVENIDA 3 OESTE 10 51,VALLE,CALI-VALLE,Periodo Anterior,3471339,14444911,45659,1880867,4747904,4220945,217277,,29028902,,29028902,362497,17653865,,44487,126723383,,,,4615054,,2824147129,,,2973546415,3002575317,393416,,393416,808360,1051658,144150998,836495,147240927,,147240927,,,,,7411610,,,,7411610,154652537,11252423,176788264,,,,,2352055243,269570198,2809666128,38256652,2847922780,3002575317
6,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800055990,SERVICIOS ESPECIALIZADOS DE INGENIERIA ELECTRICA S.A.S. EN LIQUIDACION JUDICIAL,2018-12-31,F4290 - Construcción de otras obras de ingeniería civil,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 7 180 75 M3 LC 22,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,3096281,15414984,14966287,2459888,0,,,,35937440,,35937440,,18559131,,8203608,,,,,,,,,,26762739,62700179,,,,10848223,465752,4845296,,16159271,,16159271,,,,,,,81683450,,81683450,97842721,21000000,,,,,,9431967,-65574509,-35142542,,-35142542,62700179
7,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800055990,SERVICIOS ESPECIALIZADOS DE INGENIERIA ELECTRICA S.A.S. EN LIQUIDACION JUDICIAL,2018-12-31,F4290 - Construcción de otras obras de ingeniería civil,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 7 180 75 M3 LC 22,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,2401495,34245898,27192126,5321474,,,,,69160993,,69160993,10846780,43506238,,,,,,,,,,,,54353018,123514011,,,,1220517,6490788,5633846,1594328,14939479,,14939479,,,,,,,52927343,,52927343,67866822,21000000,,,,,,9431967,25215222,55647189,,55647189,123514011
8,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",891500202,INDUSTRIAS NORTECAUCANAS S A S,2018-12-31,"C2930 - Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,HACIENDA SAN ANTONIO,CAUCA,MIRANDA-CAUCA,Periodo Actual,3366822,22700365,15423415,2742695,,2332490,,,46565787,,46565787,,19351673,,,,,3093005,,,,183477,551823,,23179978,69745765,1137980,,1137980,21654954,2050827,8207226,,33050987,,33050987,91236,,91236,4933003,,,13925,65000,5103164,38154151,7069199,,,,3780807,,3071794,17669814,31591614,,31591614,69745765
9,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",891500202,INDUSTRIAS NORTECAUCANAS S A S,2018-12-31,"C2930 - Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,HACIENDA SAN ANTONIO,CAUCA,MIRANDA-CAUCA,Periodo Anterior,3891618,15176987,12707148,3708670,,2327709,,,37812132,,37812132,,19415988,,27225,,,947475,,270495,,842768,476252,,21980203,59792335,717871,,717871,16375942,2054568,3335682,,22484063,,22484063,833048,,833048,2133988,,,4022095,3667228,10656359,33140422,7069199,,,,3449990,,3071794,13060930,26651913,,26651913,59792335
