,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
0,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830027231,ROCSA COLOMBIA S.A,2020-06-30,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",01. SOCIEDAD ANÓNIMA,PARQ IND LOGIKA II AUTOP MEDELLIN COSTADO SUR KM 5.7 BG 1,CUNDINAMARCA,TENJO-CUNDINAMARCA,Periodo Actual,34799050,64437000,59523696,5443960,,6995503,,,171199209,,171199209,,18137138,,47961133,,,999713,,,,5880606,,,72978590,244177799,,,,45675851,504683,105181984,1318682,152681200,,152681200,,,,,,6355257,35872052,,42227309,194908509,4708570,31491399,,,522994,,3043288,9503038,49269289,1,49269290,244177799
1,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830027231,ROCSA COLOMBIA S.A,2020-06-30,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",01. SOCIEDAD ANÓNIMA,PARQ IND LOGIKA II AUTOP MEDELLIN COSTADO SUR KM 5.7 BG 1,CUNDINAMARCA,TENJO-CUNDINAMARCA,Periodo Anterior,16307111,61715620,77747650,4361496,,9345717,,,169477594,,169477594,,11336943,,49326105,,,980753,,,,5880606,,,67524407,237002001,,,,78011766,1125567,71844450,1355329,152337112,,152337112,,,,,,6882022,27026918,,33908940,186246052,4708570,31491399,,,375384,,3043288,11137307,50755948,1,50755949,237002001
2,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800161734,BT LATAM HOLDINGS ( COLOMBIA ) SOCIEDAD ANONIMA,2020-12-31,J6110 - Actividades de telecomunicaciones alámbricas,01. SOCIEDAD ANÓNIMA,Calle 113 # 7-21 Torre A Of 1112,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,2470168,31641980,,,,2044848,8782388,,44939384,,44939384,,90834831,,,,,,,5622291,,,,,96457122,141396506,1654117,14055383,15709500,9642340,,410214,2900066,28662120,,28662120,,68311438,68311438,,,,,,68311438,96973558,7079737,14447799,,,28216924,,2175952,-11158822,40761590,3661358,44422948,141396506
3,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800161734,BT LATAM HOLDINGS ( COLOMBIA ) SOCIEDAD ANONIMA,2020-12-31,J6110 - Actividades de telecomunicaciones alámbricas,01. SOCIEDAD ANÓNIMA,Calle 113 # 7-21 Torre A Of 1112,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,7005653,34615886,,,,1456114,5918502,,48996155,,48996155,,67141581,,,,,,,4408708,,,,,71550289,120546444,3091522,10682669,13774191,13400030,,475771,3564558,31214550,,31214550,,42629745,42629745,,,,,,42629745,73844295,7079737,14447799,,,28216924,,2175952,-11349639,40570773,6131376,46702149,120546444
4,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830004993,CASA TORO AUTOMOTRIZ S.A.,2020-12-31,G4511 - Comercio de vehículos automotores nuevos,01. SOCIEDAD ANÓNIMA,CRA 72 170 97,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,35581134,74175717,165108202,8905096,,,26349476,,310119625,,310119625,0,71485600,,,,,1824866,,2277264,,230515211,,,306102941,616222566,,,,35697903,,71474084,40119911,147291898,,147291898,,,,6412475,,,163371469,3920673,173704617,320996515,6720000,,0,,251134625,,6604934,27869704,292329263,2896788,295226051,616222566
5,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830004993,CASA TORO AUTOMOTRIZ S.A.,2020-12-31,G4511 - Comercio de vehículos automotores nuevos,01. SOCIEDAD ANÓNIMA,CRA 72 170 97,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,15524243,112340503,162260202,12526371,,,35738475,,338389794,,338389794,35548220,32424990,,,,,1951892,,1336996,,207477081,,,278739179,617128973,,,,70776091,,86816787,38333740,195926618,,195926618,,,,6417211,,,157219007,3903234,167539452,363466070,6720000,,,,215080313,,4364133,27498457,253662903,0,253662903,617128973
6,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",809002625,INTERNACIONAL DE ELECTRICOS S.A.S.,2020-12-31,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 24 N. 4A 26 BRR EL CARMEN,TOLIMA,IBAGUE-TOLIMA,Periodo Actual,277404,21461599,26989649,1367866,,38806949,2139588,,91043055,30647,91073702,,13547628,,375144,,,3978627,,55505,,156090,142183,,18255177,109328879,2152952,,2152952,21621681,855811,17160314,2924496,44715254,,44715254,,,,,,,8901320,,8901320,53616574,3000080,,,,2568952,7753062,8053799,34336412,55712305,,55712305,109328879
7,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",809002625,INTERNACIONAL DE ELECTRICOS S.A.S.,2020-12-31,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 24 N. 4A 26 BRR EL CARMEN,TOLIMA,IBAGUE-TOLIMA,Periodo Anterior,664102,26212863,20835911,2498534,,31928477,7779495,,89919382,372134,90291516,,13542401,,717276,,,3826421,,123077,,156092,194559,,18559826,108851342,2262839,,2262839,15173336,2245817,20368327,6028679,46078998,,46078998,,,,,,,6730778,,6730778,52809776,3000080,,,,2568952,7605088,8053799,34813647,56041566,,56041566,108851342
8,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830513773,APPLUS NORCONTROL COLOMBIA LIMITADA,2020-12-31,M7020 - Actividades de consultaría de gestión,03. SOCIEDAD LIMITADA,CL 17 69 46,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,7266011,68660145,50276,17583332,,2274911,3339013,,99173688,,99173688,,12117059,,447846,791566,,,,2114711,,328215,,,15799397,114973085,6120287,,6120287,28951527,7170366,204128,5161776,47608084,,47608084,,,,5187125,,,,1283999,6471124,54079208,33005706,5019692,,,,,5065357,17803122,60893877,,60893877,114973085
9,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830513773,APPLUS NORCONTROL COLOMBIA LIMITADA,2020-12-31,M7020 - Actividades de consultaría de gestión,03. SOCIEDAD LIMITADA,CL 17 69 46,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,14446544,63549515,80099,18021310,,1119617,2305535,,99522620,,99522620,,12855646,,714917,791566,,,,3647555,,354018,,,18363702,117886322,6982201,,6982201,23723558,7049417,6952050,4855420,49562646,,49562646,,,,5674949,,,,994643,6669592,56232238,33307307,5019692,,,,,4400399,18926686,61654084,,61654084,117886322
