,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C,Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
0,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830027231,ROCSA COLOMBIA S.A,2019-06-30,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",01. SOCIEDAD ANÓNIMA,PARQ IND LOGIKA II AUTOP MEDELLIN COSTADO SUR KM 5.7 BG 1,CUNDINAMARCA,TENJO-CUNDINAMARCA,Periodo Actual,3681036,69823758,40088643,14411457,,4084536,,,132089430,,132089430,,949976,,50480347,,,952550,,,,753737,,,53136610,185226040,,,,43299808,687334,59285092,1061260,104333494,,104333494,,,,,7913996,,22283263,,30197259,134530753,4708570,31491399,,,428196,,3043288,11023833,50695286,1,50695287,185226040
1,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",830027231,ROCSA COLOMBIA S.A,2019-06-30,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",01. SOCIEDAD ANÓNIMA,PARQ IND LOGIKA II AUTOP MEDELLIN COSTADO SUR KM 5.7 BG 1,CUNDINAMARCA,TENJO-CUNDINAMARCA,Periodo Anterior,2234337,56682386,39581333,21825790,,4734810,,,125058656,,125058656,,1281286,,51511466,,,966605,,,,877678,,3100000,57737035,182795691,,,,45539675,1957027,50175390,726038,98398130,,98398130,,,,,8330761,,26555939,,34886700,133284830,4708570,31491399,,,397985,,2589962,10322944,49510860,1,49510861,182795691
2,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301443,AMALFI S.A.S.,2019-06-30,K6494 - Otras actividades de distribución de fondos,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,AVENIDA 3 OESTE 10 51,VALLE,CALI-VALLE,Periodo Actual,135115128,41424024,30112,1892657,6493798,2721350,180773,,187857842,273000,188130842,89497,17622951,,21823,122490243,,,,,,1760215664,,,1900440178,2088571020,380397,,380397,649021,379752,3280043,544987,5234200,,5234200,,,,,5515313,,,,5515313,10749513,11252423,176788264,155004768,,,,1642834799,355861551,2031732269,46089238,2077821507,2088571020
3,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890301443,AMALFI S.A.S.,2019-06-30,K6494 - Otras actividades de distribución de fondos,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,AVENIDA 3 OESTE 10 51,VALLE,CALI-VALLE,Periodo Anterior,8448738,16406529,9965,1524526,3828637,4422197,,,34640592,273000,34913592,89497,17920064,,34574,169810278,,,,,,1838393702,,,2026248115,2061161707,363560,,363560,939485,,159638704,4012500,164954249,,164954249,,,,,658270,,,,658270,165612519,11252423,176788264,155004768,,,,1643859853,174285948,1851181720,44367468,1895549188,2061161707
4,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900182199,COLGENER S.A,2019-06-30,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. SOCIEDAD ANÓNIMA,CARRERA 13 93 19 P4,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,126441546,77102573,93321763,75099,,,2619884,,299560865,,299560865,1037227,870618128,,244561,,,,,,,25630,477760,,872403306,1171964171,3718340,,3718340,13896425,21097130,139366015,,178077910,,178077910,12283385,261906,12545291,,45328447,,589350783,,647224521,825302431,91794988,135334649,,,111127281,,65992191,-58404260,345844849,816891,346661740,1171964171
5,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900182199,COLGENER S.A,2019-06-30,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. SOCIEDAD ANÓNIMA,CARRERA 13 93 19 P4,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,202553382,68512234,85124910,137239,,,5041909,,361369674,,361369674,1042592,885068820,,125605,,,1550816,,,,22803,477760,,888288396,1249658070,3895054,,3895054,8677287,71699242,86509857,,170781440,,170781440,11374819,261906,11636725,,46712506,,604208284,,662557515,833338955,91794988,135334649,,,111127281,,164413372,-87269349,415400941,918174,416319115,1249658070
6,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900353530,ACI WORLDWIDE COLOMBIA SAS,2019-12-31,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Av. Cra 72 No. 80-94 Of 502,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,8805259,8958891,,1530706,,,1875246,,21170102,,21170102,,1928205,14167555,5770834,,,,,1701566,,,619275,,24187435,45357537,1350518,298826,1649344,4963897,1455793,18099,2390107,10477240,,10477240,51189,220607,271796,,5698926,,8221648,252773,14445143,24922383,16500000,,,,,,1408235,2506138,20414373,20781,20435154,45357537
7,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900353530,ACI WORLDWIDE COLOMBIA SAS,2019-12-31,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Av. Cra 72 No. 80-94 Of 502,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,8901349,4095343,,1005446,,,4390195,,18392333,,18392333,,292100,14167555,6546406,,,,,1129720,,,2188004,,24323785,42716118,1092492,542177,1634669,2593156,1378688,5518,1693706,7305737,,7305737,39555,,39555,,4636127,,10531888,942817,16150387,23456124,16500000,,,,,,1335931,1407061,19242992,17002,19259994,42716118
8,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",901212102,AUNA COLOMBIA S.A.S.,2019-12-31,"M7490 - Otras actividades profesionales, científicas y técnicas n.c.p.",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 7 N° 71-52 TO A OF. 504,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,10968821,193693024,14330636,6678032,,,1567595,,227238108,1368707,228606815,1445926,331083203,166315701,200462011,5468604,,158809,,,,253159,,,705187413,933794228,12475423,3734414,16209837,107871207,3322620,61908941,6671487,195984092,,195984092,,,,2148683,76106033,,362734760,11446219,452435695,648419787,269737,268474351,,,15005875,,-10431682,-3279612,270038669,15335772,285374441,933794228
9,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",901212102,AUNA COLOMBIA S.A.S.,2019-12-31,"M7490 - Otras actividades profesionales, científicas y técnicas n.c.p.",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 7 N° 71-52 TO A OF. 504,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,63591962,153309751,13192579,5546506,,,3899408,,239540206,1897086,241437292,546093,313674485,166315701,198787840,4399505,,4928506,,,,1464714,,,690116844,931554136,11114660,3146315,14260975,112733135,3331125,57169532,4582433,192077200,,192077200,18733,,18733,4140317,83781234,,410743185,922706,499606175,691683375,231604,230373498,,,,,-683594,-4678637,225242871,14627890,239870761,931554136
